대통령을 포함한 미국의 행정부 견제권을 갖는 국가 기관은?	하원	[WHAT]
현대적 인사조직관리의 시발점이 된 책은?	《경영의 실제》	[CITE]
강희제가 1717년에 쓴 글은 누구를 위해 쓰여졌는가?	백성	[WHO]
11~12세기에 제작된 본존불은 보통 어떤 나라의 특징이 전파되었나요?	중국	[WHAT]
명문이 적힌 유물을 구성하는 그릇의 총 개수는?	4개	[QUANTITY]
카드모스의 부하들이 간 곳에는 무엇이 있었는가?	드래곤	[WHAT]
관우를 불태워 죽이려한 사람 누구인가?	형양태수 왕식	[WHO]
참호 속에 무기와 장비를 버리고 도주한 집단은?	이탈리아군	[WHAT]
제2차 세계 대전에 참전하여 사망한 자식은?	큰아들 유	[WHO]
고려 공민왕이 처가 식구들과 아내와 함께 피신처로 삼은 마을은?	왕대마을	[WHERE]
정여창은 어떻게 죽었나?	음독자살	[HOW]
아멜리아는 빅토르의 직업을 무엇으로 착각하나요?	출장 잦은 건축가	[WHAT]
우핑가스 왕조의 이름은 어디서 유래하였나?	반신화적인 인물인 우파	[WHERE]
장면이 한국으로 돌아온 년도는?	1951년	[WHEN]
유대교의 지나친 차별을 타파하려한 사람은?	예수	[WHO]
권번에서 요릿집에 제공한 기생 명부의 이름은?	'초일기'	[CITE]
영국군 약 42만명의 사상자가 발생한 전투가 시작된 연도는?	1916년	[WHEN]
웨이크필드가 15번째 시즌에 활약한 팀의 이름은?	레드삭스	[WHAT]
김상옥이 종로경찰서에 폭탄을 던진 직후 피신한 곳은?	삼판동	[WHERE]
윤치호가 극찬했던 조선시대의 인물은 누구인가요?	다산 정약용	[WHO]
항우가 진나라를 멸하면서 조왕 헐은 어디로 이동했는가?	대나라	[WHERE]
30일에 한달 연장 근무를 신청하는 병사가 상금으로 받게 되는 금액은?	10달러	[QUANTITY]
슈만이 미군에게 포로로 잡혔던 년도는?	1945년	[WHEN]
김건의 할아버지가 세운 학교는?	사립 김노인 고등학교	[WHERE]
뇌에 탈피 신호를 보내는 부위는?	체벽에 잇는 감지기	[WHAT]
툴민은 ≪코스모폴리스≫에서 근대과학과 무엇에 대해 비평하나요?	근대철학	[WHAT]
아테네와 파트라간의 거리는?	215km	[QUANTITY]
페리데코가 궁전으로 주문한 서재는 무엇으로 널리 알려져 있었나요?	마커트리로 장식을 한 트롱프 뢰유	[WHAT]
카르텔 내부의 세력 다툼이 일어나기 전 카르텔의 리더는 누구였나?	아르투로	[WHO]
개건 현대화의 계기가 된 승리자동차련합기업소의 생산 설비는?	조립 라인	[WHY]
잘록한 허리가 두드러지게 옷을 입는 방법은?	우전왕(優塡王)식 착의법	[WHAT]
도연주와 백승희는 무슨 사이로 알려졌나?	친구	[WHAT]
러시아가 ISIL과 타 반정부 단체와 전투를 벌인 년도는?	2015년	[WHEN]
비트겐슈타인은 누구와 친구가 되었는가?	케이스 커크	[WHO]
뷰포트는 대개 무슨 모양인가?	직사각형	[WHAT]
브루노 라이헨바흐의 직업은?	상인	[WHO]
차바하르항은 어떤 나라 덕분에 미국의 제재를 받지 않게 되었나?	중국	[WHAT]
항공기에 기름을 바르는 것은 누구의 일인가?	지상요원들	[WHO]
완장에 있는 별모양과 비슷한 모양의 빛을 뿜는 것은 누구의 손인가?	시조 거인	[WHO]
어린아이임에도 불구하고 도스필라스의 왕이 된 사람은?	'발라즈 찬 카이이'	[WHO]
KANU의 의장이었던 사람이 케냐 대통령이 된 날짜는?	1964년 12월 12일	[WHEN]
전기화학적 기울기가 ATP와 무엇을 만들어낼 수 있는가?	NADPH	[WHAT]
고든 프리맨이 레이븐홈을 떠날 수 있도록 도와준 사람은?	그리고리 신부(Father Grigori)	[WHO]
사후에 영장을 청구할 수 있는 예외조항이 존재하는 법 조항은?	헌법 제12조 제3항	[WHAT]
이범래는 일본에서 언제까지 도피 생활을 했나요?	1907년까지	[WHEN]
매사추세츠는 어느 지역의 사람들에게 공격을 받아 수많은 사람들이 죽었나?	부근 북동부	[WHERE]
초고층 주거에서 차량과 사람의 활동 범위 중복을 최소화하는 장치는?	덱	[WHAT]
풍수지리사상의 관점에서 보면 선몽대는 어떤 유형에 속하나요?	평사낙안형	[WHAT]
농지법을 개혁할 당시 카이사르의 직위는?	집정관	[WHO]
조에나 머레이 스미스가 여성주의를 비판한 것은 언제인가?	2004년	[WHEN]
BBC의 파란 경찰 박스 디자인 상표권에 대한 법적 논란이 종료된 해는?	2002	[WHEN]
도비가 아메리칸 리그에 데뷔할 수 있게 그를 발탁한 인물은?	빌 비크	[WHO]
이명한의 부탁을 외면한 인물의 지위는?	사대부	[WHO]
홀뮴이 평소와 다르게 강자성을 가지게 되는 온도는?	19 K 이하	[QUANTITY]
베커먼이 훔치려고 계획한 금괴는 어디에서 왔나요?	이탈리아 피아트 사	[WHERE]
경기를 홍보하기 위해 언급된 사람은?	임수정	[WHO]
트윈타워에서의 살인사건 현장에 있던 증거품은 무엇인가?	깨진 술잔	[WHAT]
작중 샤를 지 브리타니아가 비판한 사상은?	공산주의	[WHAT]
많은 갈등을 불러온 툴민의 책은?	≪인간의 이해: 개념의 집단적 사용 및 진화 (1972)≫	[CITE]
군인의 관례을 가장 잘 들어내는 문화는?	경례	[WHAT]
고급 외무 관리에 관한 권리와 미국 정부의 조약 비준권을 가진 기관은?	상원	[WHAT]
신 중심에서 인간 중심 사회로의 변화가 시작된 시기는?	14세기	[WHEN]
각절마다 미롱통 소리가 나오는 노래는?	〈마브루공(公)〉	[CITE]
차으르가 경계한 세력은?	마수드의 군대	[WHAT]
영국의 <원론> 번역본은 어떤 언어로 되어 있었는가?	라틴어	[WHAT]
대만에서 단일 태풍 강우량 신기록을 남긴 지역은?	핑둥현	[WHERE]
쾌속 《미에》 호는 어느 방향으로 직결 운행하는 열차인가요?	나고야	[WHAT]
호프만 폭동이 수습된 해는?	1753년	[WHEN]
을미사변 직후에 이범래는 무엇에 임명되었나요?	새로 조직된 훈련대의 제1대 대대장	[WHAT]
28인의 볼셰비키가 땅에 관련된 문제를 처리하고 싶었던 지역은?	장시성	[WHERE]
중세 초기의 스웨덴에서 역할을 제대로 수행하지 못한 것은?	왕권	[WHAT]
러시아를 근대화하려는 노력을 통해 근대 열강의 하나로 자리잡게 한 왕은?	표트르 1세	[WHO]
나오코는 미아코토와 소개팅을 한 후 누구와 집에 돌아갔는가?	하세가와 마나미	[WHO]
경찰관이 딱지를 떼지 않은 것은 무엇을 위해서인가?	독립 선언식	[WHAT]
농도산수가 일정하기 위한 전제조건은?	평형상태	[WHAT]
둠 3과 기존의 둠 게임에서 매번 지옥에 가는 인물은?	리더	[WHO]
에릭 레이먼드의 자유 소프트웨어 철학을 대변하는 글은?	〈성당과 시장〉(The Cathedral and the Bazaar)	[CITE]
클라리넷 외에 유니즌의 형태로 연주되는 악기의 이름은?	바순	[WHAT]
핀 막 쿠월이 복수하고자 하는 아버지의 적은?	골	[WHAT]
기원전 324년에 드리페티스의 결혼 상대는 누구의 동료였나요?	마케도니아의 장군 알렉산더 3세	[WHO]
이광은 감독이 LG트윈스를 매직리그 1위에 올린 해는?	2000년	[WHEN]
조지가 보트를 대여할 때 사용했던 이름은?	'길버트 에드워드'	[CITE]
독일의 바르바로사 작전은 어느 국가를 대상으로 한 것이었나?	소련	[WHERE]
오토망게어족을 가장 많이 사용하는 곳은 어디인가?	오아하카주	[WHERE]
가수 이난영의 노래 중 기념비까지 세워진 것은?	〈목포의 눈물〉	[CITE]
에케르트가 시행착오를 겪었던 국가는?	일본	[WHERE]
우메노의 사인은?	상사병	[WHAT]
비석에 새겨진 문자를 돌궐 문자라고 한 사람은 누구인가?	송기중 교수	[WHO]
일반 사람들이 합법적으로 문신을 하려면 누구를 찾아가야 하나?	의사	[WHO]
영국이 인도의 반영 운동을 무마시키고자 시행한 정책은?	벵골 분할령	[WHAT]
이명박 대통령이 직접 찾은 학교는?	마이스터고	[WHERE]
알랭 푸르니에의 매부는?	자크 리비에르	[WHO]
도카이도 신칸센이 지나가며 시나가와 역까지 가는 교통수단은?	도에이 버스	[WHAT]
《우리들의》에서 다루고 있는 가정은 어느 나라 사람들인가?	러시아인	[WHO]
선언형 프로그램과 대비되는 프로그램은?	명령형 프로그램	[WHAT]
한 마을 안에서 팀을 가를 경우에 사용하는 물건은?	장치게	[WHAT]
소나타의 시초가 된 연습곡을 만든 사람은?	도메니코 스카를라티	[WHO]
김대중을 구하기 위해 캐스퍼 와인버거 미 국방부 장관과 그레그 전 대사를 한국에 파견한 인물은?	로널드 레이건 대통령	[WHO]
정해진 기간동안 목표 금액에 도달하지 못할 경우 돈을 받지 못하는 사람은?	창작자	[WHO]
소프트 머신의 이전 명칭은?	와일드 플라워즈	[WHAT]
여운홍이 도움을 청한 사람은?	대통령 박정희	[WHO]
이사벨이 나라를 대신 통치할 수 있는 권위를 준 인물의 이름은?	페르난도	[WHO]
이익은 그대로 챙기면서 소비자에게 부담을 주는 방식을 시도해 코즈마케팅에 실패한 기업은?	도미노 피자	[WHAT]
개막전에서 3안타 2실점을 기록해서 패한 선수는?	와쿠이 히데아키	[WHO]
트윈 엘리베이터가 승강기 간의 충돌사고를 방지하기 위해 도입한 기술은 무엇인가?	티센크루프의 행선층 예약시스템인 DSC	[WHAT]
자기감시성향이 높은 사람들은 무엇과 관계있는 어휘를 접했을 때 긍정적인 개인행동을 보인다고 밝혀졌나요?	인상	[WHAT]
치과 시술 중 혈관 속으로 들어올 수 있는 것은?	세균	[WHAT]
존과 약혼한 여자의 이름은 무엇인가?	린다 우드로	[WHAT]
세종대 국제학부의 사업을 대학 특성화 사업으로 채택한 부처는 어디인가?	교육부	[WHERE]
맥스가 본사로 복귀하기 위해 활용한 인물은?	샘	[WHO]
클린턴의 두 번째 임기는 어떤 스캔들로 인해 내리막을 걷게 되었나?	화이트워터 사건	[WHAT]
어디에서 심학규의 눈이 떠졌는가?	맹인 잔치	[WHERE]
프레시오지테는 누구에게 다양한 방면으로 영향을 주었는가?	상류 여성	[WHO]
